1910,4 Pillars Nanaimo Debt Relief,Finance,501 - 65 Front Street,Nanaimo,BC,V9R 5H9,(250) 740-1226,1-888-573-9298,http://nanaimodebtfree.ca
252,565098 BC Ltd.,Legal Services,DBA Fabris McIver Hornquist & Radcliffe,Nanaimo,BC,V9R 5M2,(250) 753-6661,(250) 753-6648,http://www.fabris-law.com/
5636,250 Plumber,"Construction, Materials, Contractors",6304 Thyme Place,Nanaimo,BC,V9V 1M1,(250) 758-6237,N/A,https://250plumber.com
2045,460 Realty Inc.,Real Estate & Property Management,202-1551 Estevan Rd.,Nanaimo,BC,V9S 3Y3,(250) 591-4601,(250) 591-4602,http://www.460realty.com/
1581,432841 BC Ltd - Garry Revesz,"Restaurants, Food & Beverage",#313 - 150 Promenade Drive,Nanaimo,BC,V9R 6M6,(250) 714-0759,N/A,N/A
888,3D Geomatics Inc.,"Construction, Materials, Contractors",2 - 2232 Wilgress Rd.,Nanaimo,BC,V9S 4N4,(250) 756-4500,(250) 756-4501,http://www.3dgeomatics.com
5671,3L Developments Inc,Real Estate,340 Berray Road,Fanny Bay,BC,V0R1W0,(250) 335-1013,N/A,http://www.3ldevelopments.com
5792,N/A,N/A,N/A,Nanaimo,BC,V9S 1H8 ,N/A,N/A,N/A
1525,A.C.E. Courier,Professional Services,85 Tenth St.,Nanaimo,BC,V9R 6R6,(250) 741-1401,(250) 741-1412,http://www.acecourier.bc.ca
9,Able Recognition Ltd.,Professional Services,A - 1609 Bowen Rd.,Nanaimo,BC,V9S 1G5,(250) 753-4444,(250) 753-4406,http://www.ablerecognition.com
10,AC Taxi,Automotive,835 Old Victoria Rd.,Nanaimo,BC,V9R 5Z9,(250) 753-1231,(250) 754-6260,http://www.actaxi.ca
11,Academy of Learning Career College,Education,7-1551 Estevan Rd.,Nanaimo,BC,V9S 3Y3,(250) 753-4220 ex 1,(250) 753-4295,http://www.academyoflearning.com
2190,Adam Hawryluk - DLC Canadian Mortgage Experts,Real Estate & Property Management,#5-1200 Princess Royal Ave,Nanaimo,BC,V9S 3Z7,(250) 619-5274,(250) 754-5557,http://www.nanaimomortgageexpert.ca
2201,Adrians RV Repairs Ltd.,Automotive,D-690 Comox Rd.,Nanaimo,BC,V9R 3J3,(250) 591-2091,(250) 591-2092,https://www.adrianrvrepairs.ca
1030,Aegis Document Services,Professional Services,1970 BOLLINGER ROAD,Nanaimo,BC,V9S 5W8,(250) 756-9459,N/A,http://www.aegisdocuments.com
1497,Affirmative Financial Corp.,Finance,501B - 65 Front St.,Nanaimo,BC,V9R 5H9,(250) 740-1227,(250) 754-3599,http://www.affirmativefinancial.ca
1107,AGS Business Systems Inc.,Professional Services,1 - 1850 Northfield Rd.,Nanaimo,BC,V9S 3B3,(250) 756-5611,(250) 756-5633,http://www.agscanada.com
3413,Alair Homes Nanaimo,"Construction, Materials, Contractors",96 Wallace Street,Nanaimo,BC,V9R 6R8,250-619-4646,N/A,http://www.alairhomes.ca
23,Alliance Business Solutions Inc,Professional Services,2219C McGarrigle Rd,Nanaimo,BC,V9S 4M4,(250) 751-1770,(250) 751-3068,N/A
3276,Anchorage Holdings Co Ltd.,Marine,1-2350 Dorman Rd.,Nanaimo,BC,V9S 5G2,(250) 754-5585,(250) 754-7144,http://www.marinepartssupply.com
686,Apple Auto Glass,Automotive,"Unit H, 11 Cliff St.",Nanaimo,BC,V9R 5E6,(250) 755-1440,(250) 755-1441,http://www.appleautoglass.com
38,Aspengrove School,Education,7660 Clark Dr.,Lantzville,BC,V0R 2H0,(250) 390-2201,(250) 390-2281,http://www.aspengroveschool.ca
3301,Astera's Greek Taverna,"Restaurants, Food & Beverage",347 Wesley Street,Nanaimo,BC,V9R 3A7,(250) 716-0451,N/A,http://www.asteras.ca/
1518,Auto Check Automotive Ltd.,Automotive,605 Bowen Rd.,Nanaimo,BC,V9R 1Z9,(250) 714-1997,N/A,http://www.autocheckauto.ca
1774,Ayers Repairs Ltd.,Automotive,2938 Kilpatrick Rd.,Nanaimo,BC,V9R 6W6,(250) 754-9613,(250) 754-9612,http://www.ayers-repairs.ca
3409,A-Z Germ Protector Inc.,Health Care & Personal Services,PO Box 41032,Nanaimo,BC,V9T 6M7,(250) 740-7247,N/A,http://www.germprotector.ca
5822,Accessible You,"Construction, Materials, Contractors",1024 Thunderbird Dr,Nanaimo,BC,V9S 2N8,(250) 581-7667,N/A,http://AccessibleYou.ca
3446,Achieve Balance Holistic Health,Health Care & Personal Services,8A - 6421 Applecross Road,Nanaimo,BC,V9V 1N1,(250) 816-5543,N/A,http://abholistichealth.com
3460,Advanced Automatic Doors Ltd,"Construction, Materials, Contractors",5422 Dunster Rd,Nanaimo,BC,V9T 4M8,250-729-9646,(250) 729-9617,http://www.advancedautomaticdoors.com
5597,Alexis Petersen,Individual,643 6th Street,Nanaimo,BC,V9R 1J7,(250) 668-7346,N/A,N/A
4508,Alkan Air,Travel & Accommodation,3250 Mustang Road,Cassidy,BC,N/A,(250) 924-2107,N/A,http://alkanair.com
5758,Anytime Fitness,Health Care & Personal Services,"250 - 2000 Island Hwy, Nanaimo, BC, Cana",Nanaimo,BC,V9S 5W3,(778) 762-5454,N/A,https://www.anytimefitness.com/gyms/4739/nanaimo-bc-v9s-5w3/
5680,Ardent Properties Inc.,Real Estate & Property Management,371 Franklyn Street,Nanaimo,BC,V9R2X5,(250) 753-0881,(250) 753-5451,http://www.ardentproperties.com
5650,Arrowsmith Media,Advertising & Media,498 Menzies Ridge Drive,Nanaimo,BC,V9R 0C4,(250) 797-6420,N/A,http://www.arrowsmithmedia.com
1189,Artez Photography Corporation,Photography & Videography,6430 Dover Rd.,Nanaimo,BC,V9V 1A7,(250) 668-7764,(250) 390-1831,http://www.artezphoto.com
5655,Audi Nanaimo,Automotive,2468 Kenworth Road,Nanaimo,BC,V9T 3Y3,(250) 585-2834,N/A,http://https://www.audinanaimo.com
5831,Axe & Grind Axe Throwing Club Ltd.,Sports & Recreation,225 Terminal Avenue,Nanaimo,BC,V9R 5C7,7784410555,N/A,http://https://www.axeandgrind.org/
4507,Aztec Off Grid Solutions,Retail,3076 Barons Road,Nanaimo,BC,V9T 4B5,(250) 585-8987,N/A,http://www.aztecoffgrid.com
1150,Baker Supply Ltd.,Automotive,33 Cliff St.,Nanaimo,BC,V9R 5E6,(250) 754-6315,(250) 754-7215,N/A
1339,Baker Trimmer Chartered Accountants,Accounting  & Bookkeeping,8 - 4800 Island Hwy. N.,Nanaimo,BC,V9T 1W6,(250) 751-8848,(250) 751-8827,N/A
1533,Bastion Jewellers,Retail,143 Commercial St.,Nanaimo,BC,V9R 5G5,(250) 754-4531,(250) 754-4531,http://www.bastionjewellers.com
57,BC Ferry Services Inc.,Travel & Accommodation,Suite 500 - 1321 Blanshard St.,Victoria,BC,V8W 0B7,(250) 978-2385,(250) 978-1119,http://www.bcferries.com
59,BC SPCA Nanaimo & District Branch,Community Service,154 Westwood Road,Nanaimo,BC,V9R 0G9,(250) 741-0778,(250) 758-5424,http://www.spca.bc.ca/nanaimo
60,BCAA Auto Service Center,Automotive,#400 - 6581 Aulds Rd,Nanaimo,BC,V9T 6J6,(250) 390-7702,(250) 390-7739,http://bcaa.com
1135,Bekins Moving & Storage,Moving & Storage,"PO Box 182, 1010 Shearme Rd.",Coombs,BC,V0R 1M0,(250) 248-8805,(250) 248-9688,http://www.bekins.ca
69,Bella Donna Esthetics / Bodacious by Lisa,Health Care & Personal Services,891 Millstone Ave.,Nanaimo,BC,V9S 5B4,(250) 754-1113,(250) 754-4320,http://www.bodaciousbylisa.com
1361,Benson View Veterinary Hospital,Pets,2450 Hayes Rd.,Nanaimo,BC,V9T 3M3,(250) 758-9121,(250) 758-0539,http://bensonviewvet.com/
70,Berk's Intertruck Ltd,Automotive,2230 McCullough Rd,Nanaimo,BC,V9S 4M8,(250) 758-5217,(250) 758-1444,http://www.berksintertruck.com
72,Berwick on the Lake,Community Service,3201 Ross Road,Nanaimo,BC,V9T 6L9,(250) 729-7995,(250) 729-7996,http://www.berwickrc.com
3372,Best Version Media,Advertising & Media,Neighbours of Nanoose Bay/Neighbours of Hammond Bay,N/A,N/A,N/A,(250) 756-0069/(250) 713-5223,N/A,http://www.bestversionmedia.com
